10,1,-9.136005187145532
9.75,1,-9.134501546362692
9.5,1,-9.133144121896438
9.25,1,-9.131927768914105
9.0,1,-9.13084696794429
8.75,1,-9.129895745370392
8.5,1,-9.100559280198128
8.25,1,-9.12677839979731
8.0,1,-9.12460326289311
7.75,1,-9.122526553289793
7.5,1,-9.120537165523782
7.25,1,-9.118622695130021
7.0,1,-9.116769177158478
6.75,1,-9.087007844279963
6.5,1,-9.1128640471022
6.25,1,-9.109549059717942
6.0,1,-9.106220636828658
5.75,1,-9.102850210060037
5.5,1,-9.099404388942045
5.25,1,-9.095843796252568
5.0,1,-9.092121560392549
4.75,1,-9.06069507339719
4.5,1,-9.083771190722073
4.25,1,-9.077745963918453
4.0,1,-9.071273929326304
3.75,1,-9.0642301731463
3.5,1,-9.056455966352567
3.25,1,-9.047746305283423
3.0,1,-9.037833224931422
2.75,1,-9.029311098700896
2.5,2,-9.0151503717088
2.25,1,-9.004631975724372
2.125,1,-9.02050842024212
2.0,1,-9.138652585565659
1.9375,1,-9.13464399094993
1.875,1,-9.704455223129472
1.8125,1,-9.74291626287441
1.75,1,-10.652451000003547
1.5,1,-12.137305594260809
1.25,1,-13.065051525211354
1.0,1,-13.773167439134895
0.75,1,-15.335019199244483
0.5,1,-16.65532679577825
0.25,1,-17.50159700258162
0.0,1,-17.833379968149192
